id,name,category,price,description,image,availability,whatsapp_message
1,Premium Cotton Shirt,shirts,₹2999,"Luxurious 100% cotton shirt with premium finish. Perfect for formal occasions.",https://images.unsplash.com/photo-1596755094514-f87e34085b2c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Premium Cotton Shirt (₹2999). Please share more details.
2,Designer Kurta,shirts,₹3499,"Elegant designer kurta with intricate embroidery work. Traditional yet contemporary.",https://images.unsplash.com/photo-1583391733956-6c78276477e2?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Designer Kurta (₹3499). Please share more details.
3,Silk Formal Shirt,shirts,₹3299,"Premium silk formal shirt with mother of pearl buttons. Sophisticated and elegant.",https://images.unsplash.com/photo-1602810316693-3667c854239a?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Silk Formal Shirt (₹3299). Please share more details.
4,Casual Linen Shirt,shirts,₹2199,"Breathable linen shirt perfect for casual occasions. Available in multiple colors.",https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Casual Linen Shirt (₹2199). Please share more details.
5,Formal Trousers,pants,₹2299,"Perfectly tailored formal trousers for the modern gentleman. Comfortable fit.",https://images.unsplash.com/photo-1594938298603-c8148c4dae35?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Formal Trousers (₹2299). Please share more details.
6,Chino Pants,pants,₹1899,"Versatile chino pants suitable for both casual and semi-formal wear.",https://images.unsplash.com/photo-1473966968600-fa801b869a1a?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Chino Pants (₹1899). Please share more details.
7,Dress Pants,pants,₹2599,"High-quality dress pants with perfect crease. Essential for formal wardrobes.",https://images.unsplash.com/photo-1551028719-00167b16eac5?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Dress Pants (₹2599). Please share more details.
8,Premium Business Suit,suits,₹12999,"Complete business suit with jacket and trousers. Premium fabric and expert tailoring.",https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,Made to Order,Hi! I'm interested in the Premium Business Suit (₹12999). Please share more details.
9,Classic Blazer,suits,₹5999,"Versatile classic blazer suitable for both formal and casual occasions.",https://images.unsplash.com/photo-1593030761757-71fae45fa0e7?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Classic Blazer (₹5999). Please share more details.
10,Wedding Sherwani,suits,₹15999,"Luxurious wedding sherwani with gold embroidery. Perfect for special occasions.",https://images.unsplash.com/photo-1605518216938-7c31b7b14ad0?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,Made to Order,Hi! I'm interested in the Wedding Sherwani (₹15999). Please share more details.
11,Tuxedo Set,suits,₹18999,"Premium black tuxedo set for formal events. Includes bow tie and cummerbund.",https://images.unsplash.com/photo-1594938298603-c8148c4dae35?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,Made to Order,Hi! I'm interested in the Tuxedo Set (₹18999). Please share more details.
12,Silk Pocket Square,accessories,₹899,"Elegant silk pocket square to complete your formal look. Various colors available.",https://images.unsplash.com/photo-1618354691373-d851c5c3a990?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Silk Pocket Square (₹899). Please share more details.
13,Premium Leather Belt,accessories,₹1599,"Genuine leather belt with premium buckle. Available in black and brown.",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Premium Leather Belt (₹1599). Please share more details.
14,Silk Tie Collection,accessories,₹1299,"Premium silk ties in various patterns and colors. Perfect for formal wear.",https://images.unsplash.com/photo-1594736797933-d0282ba17d78?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Silk Tie Collection (₹1299). Please share more details.
15,Cufflinks Set,accessories,₹799,"Elegant metal cufflinks for formal shirts. Comes in a premium gift box.",https://images.unsplash.com/photo-1611944212129-29977ae1398c?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,In Stock,Hi! I'm interested in the Cufflinks Set (₹799). Please share more details.
